id,event_type,course_id,group_id,lecture_id,user_id,from_time,to_time,in_quiz,speed,volume,fullscreen,created_at,updated_at
31266273,2,4363,17002,53828,67697,11.441549,,true,1.0,0.8,false,2020-01-07 12:46:19,2020-01-07 12:46:19
31259405,2,4363,17002,53828,67644,43.064042,,true,1.0,1.0,false,2020-01-06 16:59:23,2020-01-06 16:59:23
31259350,2,4363,17002,53828,67644,39.570601,,true,1.0,1.0,false,2020-01-06 16:58:32,2020-01-06 16:58:32
31259324,2,4363,17002,53828,67644,36.026144,,true,1.0,1.0,false,2020-01-06 16:58:14,2020-01-06 16:58:14
31259272,2,4363,17002,53828,67644,35.938738,,true,1.0,1.0,false,2020-01-06 16:57:26,2020-01-06 16:57:26
31259268,2,4363,17002,53828,67644,34.902201,,false,1.0,1.0,false,2020-01-06 16:57:24,2020-01-06 16:57:24
31259240,2,4363,17002,53828,67644,33.105846,,true,1.0,1.0,false,2020-01-06 16:56:48,2020-01-06 16:56:48
31259220,2,4363,17002,53828,67644,30.181129,,true,1.0,1.0,false,2020-01-06 16:55:58,2020-01-06 16:55:58
31259197,2,4363,17002,53828,67644,27.184214,,true,1.0,1.0,false,2020-01-06 16:55:14,2020-01-06 16:55:14
31259193,2,4363,17002,53828,67644,24.631696,,true,1.0,1.0,false,2020-01-06 16:54:59,2020-01-06 16:54:59
31259169,2,4363,17002,53828,67644,21.635002,,true,1.0,1.0,false,2020-01-06 16:53:59,2020-01-06 16:53:59
31259151,2,4363,17002,53828,67644,18.384179,,true,1.0,1.0,false,2020-01-06 16:52:51,2020-01-06 16:52:51
31259149,2,4363,17002,53828,67644,18.10822,,false,1.0,1.0,false,2020-01-06 16:52:50,2020-01-06 16:52:50
31259144,2,4363,17002,53828,67644,15.533231,,true,1.0,1.0,false,2020-01-06 16:52:37,2020-01-06 16:52:37
31259131,2,4363,17002,53828,67644,11.523229,,true,1.0,1.0,false,2020-01-06 16:52:06,2020-01-06 16:52:06
31256948,2,4363,17002,53828,67638,1.735072002,,false,1.0,0.0,false,2020-01-06 15:15:00,2020-01-06 15:15:00
31256946,2,4363,17002,53828,67638,96.8,,false,1.0,0.0,false,2020-01-06 15:14:52,2020-01-06 15:14:52
31256790,2,4363,17002,53828,67638,94.841638314,,true,1.0,0.0,false,2020-01-06 15:07:57,2020-01-06 15:07:57
31256615,2,4363,17002,53828,67642,96.8,,false,1.0,0.8,false,2020-01-06 15:03:37,2020-01-06 15:03:37
31256610,2,4363,17002,53828,67642,94.837218269,,true,1.0,0.8,false,2020-01-06 15:03:08,2020-01-06 15:03:08
31256599,2,4363,17002,53828,67642,92.07742447,,true,1.0,0.8,false,2020-01-06 15:02:01,2020-01-06 15:02:01
31256586,2,4363,17002,53828,67642,88.800620023,,true,1.0,0.8,false,2020-01-06 15:00:46,2020-01-06 15:00:46
31256580,2,4363,17002,53828,67642,86.054253544,,true,1.0,0.8,false,2020-01-06 15:00:03,2020-01-06 15:00:03
