id,lecture_id,question,time,created_at,updated_at,hide,question_type,quiz_type,group_id,course_id,start_time,end_time,inclass,graded,display_text,intro,self,in_group,discussion,xcoor,ycoor,height,width
86677,53828,"<p class=""medium-editor-p"">QE1.4</p>",21.533901,2020-01-05 18:51:39,2020-02-03 11:44:16,true,OCQ,survey,17002,4363,21.533901,21.533901,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
86679,53828,"<p class=""medium-editor-p"">QE1.6</p>",27.181152,2020-01-05 18:52:46,2020-02-03 11:44:17,true,OCQ,survey,17002,4363,27.181152,27.181152,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
86682,53828,"<p class=""medium-editor-p"">QE1.9</p>",35.928584,2020-01-05 18:54:14,2020-02-03 11:44:18,true,OCQ,survey,17002,4363,35.928584,35.928584,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87462,54555,"<p class=""medium-editor-p"">QE2.29</p>",69.558434,2020-01-13 12:38:56,2020-01-13 12:39:05,true,OCQ,survey,17151,4363,69.558434,69.558434,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87460,54555,"<p class=""medium-editor-p"">QE2.27</p>",64.989438,2020-01-13 12:38:04,2020-02-24 10:19:04,true,OCQ,survey,17151,4363,64.989438,64.989438,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87457,54555,"<p class=""medium-editor-p"">QE2.24</p>",58.39782,2020-01-13 12:36:53,2020-01-13 12:37:01,true,OCQ,survey,17151,4363,58.39782,58.39782,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87459,54555,"<p class=""medium-editor-p"">QE2.26</p>",63.211483,2020-01-13 12:37:40,2020-02-24 10:19:03,true,OCQ,survey,17151,4363,63.211483,63.211483,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87461,54555,"<p class=""medium-editor-p"">QE2.28</p>",67.176878,2020-01-13 12:38:26,2020-01-13 12:38:34,true,OCQ,survey,17151,4363,67.176878,67.176878,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87463,54555,"<p class=""medium-editor-p"">QE2.30</p>",72.290622,2020-01-13 12:40:30,2020-01-13 12:40:40,true,OCQ,survey,17151,4363,72.290622,72.290622,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87464,54555,"<p class=""medium-editor-p"">QE2.31</p>",74.255537,2020-01-13 12:41:06,2020-01-13 12:41:13,true,OCQ,survey,17151,4363,74.255537,74.255537,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87433,54555,"<p class=""medium-editor-p"">QE2.1</p>",6.141444,2020-01-13 12:17:02,2020-01-13 12:17:17,true,OCQ,survey,17151,4363,6.141444,6.141444,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87434,54555,"<p class=""medium-editor-p"">QE2.2</p>",8.77251,2020-01-13 12:17:39,2020-01-13 12:17:47,true,OCQ,survey,17151,4363,8.77251,8.77251,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87435,54555,"<p class=""medium-editor-p"">QE2.3</p>",10.911324,2020-01-13 12:18:05,2020-01-13 12:18:11,true,OCQ,survey,17151,4363,10.911324,10.911324,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87436,54555,"<p class=""medium-editor-p"">QE2.4</p>",13.424949,2020-01-13 12:18:24,2020-01-13 12:18:30,true,OCQ,survey,17151,4363,13.424949,13.424949,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87455,54555,"<p class=""medium-editor-p"">QE2.22</p>",53.789441,2020-01-13 12:25:26,2020-02-24 10:18:53,true,OCQ,survey,17151,4363,53.789441,53.789441,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87438,54555,"<p class=""medium-editor-p"">QE2.6</p>",17.830914,2020-01-13 12:19:16,2020-01-13 12:19:24,true,OCQ,survey,17151,4363,17.830914,17.830914,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87439,54555,"<p class=""medium-editor-p"">QE2.7</p>",20.172951,2020-01-13 12:19:40,2020-01-13 12:19:46,true,OCQ,survey,17151,4363,20.172951,20.172951,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87440,54555,"<p class=""medium-editor-p"">QE2.8</p>",22.383467,2020-01-13 12:19:58,2020-01-13 12:20:03,true,OCQ,survey,17151,4363,22.383467,22.383467,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87441,54555,"<p class=""medium-editor-p"">QE2.9</p>",24.759476,2020-01-13 12:20:20,2020-01-13 12:20:25,true,OCQ,survey,17151,4363,24.759476,24.759476,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87442,54555,"<p class=""medium-editor-p"">QE2.10</p>",26.980347,2020-01-13 12:20:39,2020-01-13 12:20:44,true,OCQ,survey,17151,4363,26.980347,26.980347,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87443,54555,"<p class=""medium-editor-p"">QE2.11</p>",29.28698,2020-01-13 12:21:01,2020-02-24 10:18:43,true,OCQ,survey,17151,4363,29.28698,29.28698,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87444,54555,"<p class=""medium-editor-p"">QE2.12</p>",31.403147,2020-01-13 12:21:23,2020-02-24 10:18:41,true,OCQ,survey,17151,4363,31.403147,31.403147,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
